routename,port1name,port2name,lon,lat,point_id,distance
Shanghai ==> Acu Superport,Shanghai,Acu Superport,103.4125,1.248815,44,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,102.985637,1.62706,45,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,102.258618,1.958497,46,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,101.46783,2.596283,47,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,100.994602,2.839125,48,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,100.79669,3.02586,49,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,99.842013,4.271502,50,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,98.980252,5.189565,51,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,98.179115,5.675245,52,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,98.165015,5.947573,53,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,98.2406,5.946205,54,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,98.024625,6.069272,55,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,98.108002,6.071053,56,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,95.372867,6.187972,57,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,95.058377,6.169102,58,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,94.727557,6.038868,59,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,88.645013,1.881013,60,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,86.820568,0.546812,61,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,86.604365,0.477522,62,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,85.44304,-0.23328,63,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,84.350987,-1.062027,64,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,76.14624,-6.664267,65,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,75.158578,-7.41499,66,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,69.59832,-11.148667,67,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,59.638007,-17.74781,68,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,57.944587,-18.4392,69,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,48.68184,-24.80224,70,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,47.914728,-25.19834,71,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,45.765947,-25.866773,72,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,36.347308,-29.637115,73,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,32.728347,-30.904747,74,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,32.026773,-31.05952,75,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,31.46552,-31.438427,76,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,30.841387,-31.694693,77,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,30.332085,-32.049908,78,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,29.84279,-32.166,79,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,28.922797,-32.55305,80,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,27.074907,-33.876133,81,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,24.89224,-34.520133,82,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,23.588907,-34.75224,83,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,21.727433,-34.814395,84,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,19.84101,-35.06771,85,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,18.840533,-35.059867,86,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,18.683573,-34.660773,87,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,18.721787,-34.933173,88,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,18.6288,-34.746545,89,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,18.646905,-34.571228,90,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,18.661413,-34.898613,91,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,18.17416,-34.921067,92,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,14.83424,-34.24312,93,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,13.302088,-33.816338,94,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,1.48936,-31.027227,95,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,-5.7688,-29.232027,96,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,-6.08721,-29.084498,97,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,-6.374732,-29.086138,98,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,-13.076035,-27.393043,99,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,-37.70078,-22.458148,100,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,-39.558033,-21.575298,101,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,-40.44128,-21.909867,102,11548.9
Shanghai ==> Acu Superport,Shanghai,Acu Superport,-40.981983,-21.808348,103,11548.9
